title;composers;year;meter;key;length
Sweeping Up;Swallow, Steve;1975;3/4;G;7
Red Clay;Hubbard, Freddie;1970;4/4;c;11
Bessie's Blues;Coltrane, John;1964;4/4;E-;12
Blues Five Spot;Monk, Thelonious;1962;4/4;B-;12
Blues In The Closet;Pettiford, Oscar;1955;4/4;A-;12
Blue Sphere;Monk, Thelonious;1971;4/4;B-;12
C Jam Blues;Ellington, Duke;1942;4/4;C;12
Cousin Mary;Coltrane, John;1959;4/4;A-;12
Eighty One;Carter, Ron;1965;4/4;F;12
Equinox;Coltrane, John;1960;4/4;c#;12
Jody Grind, The;Silver, Horace;1966;4/4;b-;12
Jumpin With Symphony Sid;Young, Lester;1950;4/4;B-;12
Kicker, The;Henderson, Joe;1963;4/4;B-;12
Misterioso;Monk, Thelonious;1948;4/4;B-;12
Mr. P.C.;Coltrane, John;1959;4/4;c;12
Parker's Mood;Parker, Charlie;1948;4/4;B-;12
Some Other Blues;Coltrane, John;1959;4/4;F;12
St. Louis Blues;Handy, W.C.;1914;4/4;G;12
Straight No Chaser;Monk, Thelonious;1951;4/4;B-;12
Tenor Madness;Rollins, Sonny;1956;4/4;B-;12
Ba-lue Bolivar Ba-lues-are;Monk, Thelonious;1956;4/4;B-;13
Blues For Wood;Shaw, Woody;1976;4/4;f;13
Chasin' The Trane;Coltrane, John;1962;4/4;F;13
Fine And Mellow;Holiday, Billie;1940;4/4;F;13
Bloomdido;Parker, Charlie;1953;4/4;B-;14
Interplay;Evans, Bill;1962;4/4;f;14
Relaxin' At Camarillo;Parker, Charlie;1947;4/4;C;14
Solar;Davis, Miles;1954;4/4;c;14
Sonnymoon For Two;Rollins, Sonny;1957;4/4;B-;14
Things Ain't What They Used To Be;Ellington, Duke;1942;4/4;D-;14
Turnaround;Coleman, Ornette;1959;4/4;C;14
Bags' Groove;Jackson, Milt;1954;4/4;F;15
Barbados;Parker, Charlie;1948;4/4;F;15
Moonchild;Jarrett, Keith;1971;4/4;e;15
Sandu;Brown, Clifford;1955;4/4;E-;15
Billie's Bounce;Parker, Charlie;1945;4/4;F;16
Birk's Works;Gillespie, Dizzy;1956;4/4;f;16
Blue In Green;Davis, Miles & Evans, Bill;1959;4/4;d;16
Booker's Waltz;Little, Booker;1961;3/4;A-;16
Cantaloupe Island;Hancock, Herbie;1964;4/4;f;16
Contemplation;Tyner, McCoy;1967;3/4;c;16
Cyclic Episode;Rivers, Sam;1964;4/4;C;16
Friday The 13th;Monk, Thelonious;1959;4/4;G;16
If You Never Come To Me;Jobim, Antonio Carlos;1964;4/4;C;16
Iris;Shorter, Wayne;1965;3/4;f;16
Nefertiti;Shorter, Wayne;1968;4/4;A-;16
Now's The Time;Parker, Charlie;1945;4/4;F;16
Pent Up House;Rollins, Sonny;1956;4/4;G;16
Re: Person I Knew;Evans, Bill;1974;4/4;C;16
Route 66;Troup, Bobby;1946;4/4;F;16
Sorcerer, The;Hancock, Herbie;1967;4/4;D-;16
Sweet Georgia Bright;Lloyd, Charles;1964;4/4;C;16
Toys;Hancock, Herbie;1977;4/4;d;16
Valse Hot;Rollins, Sonny;1956;3/4;A-;16
Walkin';Davis, Miles;1949;4/4;F;16
Watermelon Man;Hancock, Herbie;1963;4/4;F;16
Wayne's Thang;Garrett, Kenny;1995;4/4;e;16
We Will Meet Again;Evans, Bill;1977;3/4;c;16
Blue Bossa;Dorham, Kenny;1963;4/4;c;17
Coral;Jarrett, Keith;1973;4/4;c;17
Israel;Carisi, John;1949;4/4;d;17
Mac The Knife;Weill, Kurt;1928;4/4;B-;17
Sugar;Turrentine, Stanley;1971;4/4;c;17
When It Rains;Mehldau, Brad;2001;4/4;B;17
When The Saints Go Marching In;Traditional;1896;4/4;F;17
Work Song;Adderley, Nat;1960;4/4;f;17
Beatrice;Rivers, Sam;1968;4/4;F;18
Humpty Dumpty;Corea, Chick;1978;4/4;C;18
Jackie-ing;Monk, Thelonious;1959;4/4;B-;18
Lady Bird;Dameron, Tadd;1947;4/4;C;18
On The Trail;Grofe, Ferde;1933;4/4;F;18
Peace;Silver, Horace;1959;4/4;B-;18
Played Twice;Monk, Thelonious;1959;4/4;C;18
Sunny;Hebb, Bobby;1963;4/4;a;18
Swinging Shepherd Blues, The;Roberts, Rhoda & Koffman, Moe & Jacobson, Kenny;1958;4/4;B-;18
United;Shorter, Wayne;1961;3/4;F;18
Cheryl;Parker, Charlie;1955;4/4;C;19
Fall;Shorter, Wayne;1967;4/4;e;19
Funkallero;Evans, Bill;1971;3/4;c;19
Si Si;Parker, Charlie;1951;4/4;F;19
Yesterdays;Kern, Jerome;1933;4/4;d;19
Afro Blue;Santamaria, Mongo;1959;3/4;f;20
Blue Daniel;Rosolino, Frank;1978;3/4;D;20
Blues For Alice;Parker, Charlie;1951;4/4;F;20
Brotherhood Of Man;Loesser, Frank;1961;4/4;E-;20
Deluge;Shorter, Wayne;1964;4/4;e-;20
Feel Like Makin' Love;McDaniels, Eugene;1974;4/4;E-;20
Freight Train;Flanagan, Tommy;1962;4/4;A-;20
Got A Match?;Corea, Chick;1990;4/4;d;20
Half Nelson;Davis, Miles;1948;4/4;C;20
Leaving;Beirach, Richie;1976;4/4;B-;20
Ligia;Jobim, Antonio Carlos;1976;4/4;B;20
Mc Jolt;Richie, Beirach;1990;4/4;e-;20
Old Country, The;Lewis, Curtis & Adderley, Cannonball;1961;4/4;d;20
One Finger Snap;Hancock, Herbie;1964;4/4;E-;20
Preacher, The;Silver, Horace;1954;4/4;F;20
Recordame;Henderson, Joe;1963;4/4;a;20
Pinocchio;Shorter, Wayne;1968;4/4;e-;21
Gloria's Step;LaFaro, Scott;1960;4/4;F;22
Just A Gigolo;Casucci, Leonello;1928;4/4;F;22
Little Boat (O Barquinho);Menescal, Roberto;1963;4/4;B-;22
Little B's Poem;Hutcherson, Bobby;1965;3/4;f;22
Armando's Rhumba;Corea, Chick;1976;4/4;c;23
El Gaucho;Shorter, Wayne;1965;4/4;F;23
Nostalgia In Times Square;Mingus, Charles;1959;4/4;F;23
Pee Wee;Williams, Tony;1967;3/4;D-;23
Summertime;Gershwin, George;1935;4/4;a;23
Taste Of Honey, A;Scott, Bobby & Marlow, Ric;1960;3/4;d;23
Why Don't You Do Right?;McCoy, Kansas Joe;1936;4/4;d;23
Adam's Apple;Shorter, Wayne;1966;4/4;A-;24
All Blues;Davis, Miles;1959;3/4;G;24
Bluesette;Thielemans, Toots;1962;3/4;B-;24
Central Park West;Coltrane, John;1959;4/4;B;24
Footprints;Shorter, Wayne;1966;3/4;c;24
For Jan;Wheeler, Kenny;1966;3/4;A;24
Four On Six;Montgomery, Wes;1960;4/4;g;24
Freddie Freeloader;Davis, Miles;1959;4/4;B-;24
Inner Urge;Henderson, Joe;1965;4/4;G;24
Juju;Shorter, Wayne;1964;3/4;B;24
Light Blue;Monk, Thelonious;1957;4/4;C;24
Paper Doll;Black, Johnny;1943;4/4;F;24
Serenity;Henderson, Joe;1964;4/4;E-;24
Simone;Foster, Frank;1968;3/4;d;24
Spain;Corea, Chick;1971;4/4;b;24
St. Thomas;Rollins, Sonny;1956;4/4;C;24
Summer Band Camp;Goodrick, Mick;1979;4/4;C;24
Ballade;Parker, Charlie;1950;4/4;F;25
Doxy;Rollins, Sonny;1954;4/4;B-;25
Midnight Mood;Zawinul, Joe;1965;3/4;D-;25
Minor Strain;Timmons, Bobby;1960;4/4;G;25
Smoke Rings;Gifford, Gene & Washington, Ned;1932;4/4;D-;25
Song For My Father;Silver, Horace;1964;4/4;f;25
Witch Hunt;Shorter, Wayne;1961;4/4;c;25
Afro Centric;Henderson, Joe;1969;4/4;D-;26
Giant Steps;Coltrane, John;1959;4/4;B;26
If You Ever Should Leave;Cahn, Sammy & Chaplin, Saul;1937;4/4;C;26
Night Dreamer;Shorter, Wayne;1964;3/4;G;26
Sound For Sore Ears, A;Heath, Jimmy;1970;4/4;E-;26
Black Narcissus;Henderson, Joe;1967;3/4;g#;27
Boo Boo's Birthday;Monk, Thelonious;1968;4/4;C;27
Girl Talk;Hefti, Neal;1965;4/4;F;27
Infant Eyes;Shorter, Wayne;1964;4/4;E-;27
Serenade To A Cuckoo;Kirk, Roland;1965;4/4;f;27
Time Remembered;Evans, Bill;1963;4/4;b;27
Better Than Anything;Wheat, David;1963;3/4;C;28
Like Sonny;Coltrane, John;1960;4/4;E-;28
Never Will I Marry;Loesser, Frank;1960;4/4;B-;28
It's Been A Long Long Time;Styne, Jule;1930;4/4;F;29
Miyako;Shorter, Wayne;1967;3/4;A;29
My Ideal;Whiting, Richard;1930;4/4;E-;29
Perhaps;Parker, Charlie;1948;4/4;C;29
Child Is Born, A;Jones, Thad;1972;3/4;B-;30
Criss Cross;Monk, Thelonious;1963;4/4;g;30
Questar;Jarrett, Keith;1978;4/4;B-;30
Stolen Moments;Nelson, Oliver;1961;4/4;c;30
Chucho;D'Rivera, Paquito;1974;4/4;d;30
Bemsha Swing;Monk, Thelonious;1952;4/4;C;31
Idle Moments;Green, Grant;1964;4/4;c;31
I Wish I Knew How It Would Feel To Be Free;Taylor, Billy;1963;4/4;F;31
Memories Of Tomorrow;Jarrett, Keith;1975;4/4;a;31
Mercy Mercy Mercy;Zawinul, Joe;1966;4/4;B-;31
When You're Smilin';Shay, Larry & Fisher, Marc & Goodwin, Joe;1928;4/4;C;31
April Joy;Metheny, Pat;1978;4/4;B-;32
Avalon;Jolson, Al & DeSylva, Buddy & Rose, Vincent;1920;4/4;B-;32
Backstage Sally;Shorter, Wayne;1961;4/4;f;32
Bright Size Life;Metheny, Pat;1976;4/4;D;32
Bye Bye Blues;Hamm, Fred & Bennett, David & Lown, Bert & Gray, Chauncey;1930;4/4;C;32
Down By The Riverside;Traditional;1927;4/4;F;32
Fascination;Marchetti, Fernando Dante;1932;3/4;C;32
Gary's Notebook;Morgan, Lee;1963;3/4;c;32
Glad To Be Unhappy;Rodgers, Richard;1936;4/4;F;32
Hot House;Dameron, Tadd;1945;4/4;C;32
Hungaria;Reinhardt, Django;1939;4/4;G;32
Impressions;Coltrane, John;1963;4/4;d;32
In A Mellow Tone (In A Mellotone);Ellington, Duke;1940;4/4;A-;32
I've Found A New Baby v2;Palmer, Jack & Williams, Spencer;1926;4/4;F;32
Killer Joe;Golson, Benny;1959;4/4;C;32
Ladies In Mercedes;Swallow, Steve;1985;4/4;G;32
Lennie's Pennies;Tristano, Lennie;1952;4/4;c;32
Lonnie's Lament;Coltrane, John;1964;4/4;c;32
Maiden Voyage;Hancock, Herbie;1965;4/4;D;32
Mirror, Mirror;Chick, Corea;1980;3/4;C;32
Move;Best, Denzil;1949;4/4;B-;32
Nandis;Davis, Miles & Evans, Bill;1959;4/4;e;32
On Broadway;Mann, Barry & Weil, Cynthia & Stoller, Mike & Leiber, Jerry;1963;4/4;F;32
Phase Dance;Metheny, Pat	;1978;4/4;b;32
Sister Sadie;Silver, Horace;1959;4/4;G;32
So Danco Samba;Jobim, Antonio Carlos;1963;4/4;C;32
Someday My Prince Will Come;Churchill, Frank;1937;3/4;B-;32
So What;Davis, Miles;1959;4/4;d;32
Subconscious Lee;Konitz, Lee;1949;4/4;C;32
Sweet Sue, Just You;Harris, Will & Young, Victor;1928;4/4;G;32
Tune Up;Davis, Miles;1953;4/4;B-;32
What Is This Thing Called Love;Porter, Cole;1930;4/4;C;32
Blue (And Broken Hearted);Handman, Lou;1922;4/4;B-;33
Bossa Antigua;Desmond, Paul;1964;4/4;A-;33
Bright Mississippi;Monk, Thelonious;1962;4/4;A-;33
Cool One, The;Golson, Benny;1961;4/4;G;33
Fine And Dandy;Swift, Kay;1930;4/4;F;33
Gee Baby, Ain't I Good To You;Redman, Don;1929;4/4;E-;33
I've Got A Crush On You;Gershwin, George;1928;4/4;B-;33
Jeannie's Song;Ivery, Marchel;1994;4/4;F;33
Just In Tune;Abercrombie, John;1999;4/4;C;33
Minor Mood;Brown, Clifford;1953;4/4;f;33
Nothing Personal;Grolnick, Don;1987;4/4;g;33
O Grande Amor;Jobim, Antonio Carlos;1963;4/4;a;33
Oliloqui Valley;Hancock, Herbie;1964;4/4;C;33
Passion Dance;Tyner, McCoy;1967;4/4;F;33
Unrequited;Mehldau, Brad;1998;4/4;C;33
You Won't Forget Me;Goell, Kermit & Spielman, Fred;1953;4/4;b-;33
All Of Me;Marks, Gerald;1931;4/4;C;34
Autumn Leaves;Kosma, Joseph;1947;4/4;g;34
Bloom, Rube;Fools, Rush In;1940;4/4;C;34
Boy Next Door;Martin, Hugh & Blane, Ralph;1944;3/4;C;34
Brazilian Like;Petrucciani, Michel;1998;4/4;b-;34
Feels So Good;Mangione, Chuck;1977;4/4;F;34
Groovin' High;Gillespie, Dizzy;1944;4/4;E-;34
I Fall In Love Too Easily;Styne, Jule;1944;4/4;E-;34
In A Shanty In Old Shanty Town;Little, Jack & Siras, John;1932;3/4;F;34
Rose Room;Hickman, Art;1917;4/4;G;34
Serene;Dolphy, Eric;1960;4/4;E-;34
Shadow Of Your Smile, The;Mandel, Johnny;1965;4/4;G;34
Shine;Dabney, Ford;1910;4/4;E-;34
Smile;Chaplin, Charles;1936;4/4;F;34
Struttin' With Some Barbecue;Armstrong, Lillian;1928;4/4;F;34
Upper Manhattan Medical Group;Strayhorn, Billy;1956;4/4;D-;34
Weaver Of Dreams, A;Young, Victor;1952;4/4;C;34
502 Blues;Rowles, Jimmy;1966;3/4;a;35
Alexander's Ragtime Band;Berlin, Irving;1911;4/4;F;35
All Alone;Berlin, Irving;1924;3/4;F;35
All Of A Sudden My Heart Sings;Herpin, Laurent & Rome, Harold & Blauvillain, Jean Marie;1944;4/4;C;35
Beyond The Blue Horizon;Whiting, Richard & Harling, W. Franke;1930;4/4;B-;35
Bill Bailey;Traditional;1902;4/4;G;35
Blue Lou;Mills, Irving;1935;4/4;B-;35
Broadway;Woode, William Henri & Bird, Bill & McRae, Teddy;1940;4/4;B-;35
Chicken, The;Ellis, Pee Wee;1982;4/4;B-;35
Dearly Beloved;Kern, Jerome;1942;4/4;C;35
E.S.P.;Shorter, Wayne;1965;4/4;F;35
Good Life, The;Distel, Sacha;1962;4/4;A-;35
How Insensitive;Jobim, Antonio Carlos;1963;4/4;d;35
I'll See You In My Dreams;Jones, Isham;1924;4/4;F;35
I Love Paris;Porter, Cole;1953;4/4;c;35
I Love You;Porter, Cole;1944;4/4;F;35
In A Little Spanish Town;Wayne, Mabel;1936;4/4;G;35
In The Wee Small Hours Of The Morning;Mann, David;1955;4/4;C;35
Limehouse Blues;Braham, Philip & Furber, Douglas;1922;4/4;A-;35
Little Waltz;Carter, Ron;1966;3/4;f;35
Look For The Silver Lining;Kern, Jerome;1920;4/4;B-;35
Mimi;Rodgers, Richard;1932;4/4;G;35
My Melancholy Baby;Burnett, Ernie & Norton, George;1911;4/4;B-;35
Nuages;Reinhardt, Django;1939;4/4;G;35
Out Of Nowhere;Green, Johnny;1931;4/4;G;35
Remember;Berlin, Irving;1925;4/4;A-;35
So Nice (Summer Samba);Valles, Marco;1966;4/4;F;35
Stella By Starlight;Young, Victor;1946;4/4;B-;35
Them There Eyes;Pinkard, Maceo & Tauber, Doris & Tracey, William;1930;4/4;A-;35
Time On My Hands;Youmans, Vincent;1930;4/4;F;35
Why Do I Love You?;Kern, Jerome;1927;4/4;A-;35
Zingaro (Retrato Em Branco E Preto);Jobim, Antonio Carlos;1967;4/4;g;35
Baubles, Bangles And Beads;Wright, Robert & Forrest, George;1953;3/4;A-;36
Beautiful Love;Young, Victor;1931;4/4;d;36
Candy;Mack David & Joan Whitney & Alex Kramer;1944;4/4;B-;36
Dancing In The Dark;Schwartz, Arthur;1931;4/4;C;36
Day By Day;Cahn, Sammy & Stordahl, Axel & Weston, Paul;1945;4/4;G;36
Donna Lee;Charlie, Parker;1947;4/4;A-;36
Fine Romance, A;Kern, Jerome;1936;4/4;C;36
Funk In Deep Freeze;Mobley, Hank;1957;4/4;f;36
Green Chimneys;Monk, Thelonious;1968;4/4;a-;36
Hackensack;Monk, Thelonious;1954;4/4;F;36
I Can't Believe...You're In Love...;McHugh, Jimmy;1926;4/4;C;36
I Can't Give You Anything But Love;McHugh, Jimmy;1928;4/4;F;36
I'll Close My Eyes;Reid, Billy;1945;4/4;F;36
Jersey Bounce;Johnson, Eddie & Bradshaw, Tiny & Plater, Bobby;1941;4/4;F;36
Just Friends;Klenner, John;1931;4/4;G;36
Just In Time;Styne, Jule;1956;4/4;B-;36
Little Tear, A;Deodato, Eumir & Valle, Paulo;1965;4/4;E-;36
Lonesome Road, The;Skilkret, Nathaniel;1928;4/4;E-;36
On A Slow Boat To China;Loesser, Frank;1948;4/4;B-;36
Shiny Stockings;Foster, Frank;1955;4/4;F;36
Strike Up The Band;Gershwin, George;1929;4/4;E-;36
Take The A Train;Strayhorn, Billy;1941;4/4;C;36
This Can't Be Love;Rodgers, Richard;1938;4/4;F;36
This I Dig Of You;Mobley, Hank;1960;4/4;B-;36
Tonight;Bernstein, Leonard;1957;4/4;G;36
Ugly Beauty;Monk, Thelonious;1967;3/4;D-;36
Well You Needn't;Monk, Thelonious;1944;4/4;F;36
You Stepped Out Of A Dream;Nacio Herb Brown;1940;4/4;C;36
Across The Valley From The Alamo;Greene, Joe;1947;4/4;F;37
All Of You;Porter, Cole;1954;4/4;E-;37
Beautiful Friendship, A;Kahn, Donald;1957;4/4;A-;37
Best Things In Life Are Free, The;DeSylva, B.G. & Brown, Lew & Henderson, Ray;1927;4/4;C;37
Blossom Fell, A;Barnes, Howard & Cornelius, Harold & John, Dominic;1954;4/4;B-;37
Breeze And I, The;Lecuona, Ernesto;1941;4/4;E-;37
Days And Nights Waiting;Jarrett, Keith;1968;4/4;D;37
Don't Worry 'Bout Me;Bloom, Rube;1939;4/4;A-;37
Exactly Like You;McHugh, Jimmy;1930;4/4;C;37
Fever;Davenport, John (Otis Blackwell) & Cooley, Eddie;1956;4/4;a;37
Four;Davis, Miles;1954;4/4;E-;37
I've Found A New Baby;Palmer, Jack & Williams, Spencer;1926;4/4;F;37
Lady's In Love With You, The;Lane, Burton;1939;4/4;G;37
Lazy River;Carmichael, Hoagy;1931;4/4;F;37
My Shining Hour;Arlen, Harold;1943;4/4;C;37
On A Clear Day;Lane, Burton;1966;4/4;G;37
Perdido;Tizol, Juan;1942;4/4;B-;37
There Will Never Be Another You;Warren, Harry;1942;4/4;E-;37
They Didn't Believe Me;Kern, Jerome;1914;4/4;G;37
This Is New;Weill, Kurt;1958;4/4;c;37
Three Little Words;Ruby, Harry;1930;4/4;C;37
Too Marvelous For Words;Whiting, Richard;1937;4/4;G;37
Who's Sorry Now?;Snyder, Ted;1923;4/4;C;37
Wow;Tristano, Lennie;1949;4/4;F;37
You Can Depend On Me;Carpenter, Charles & Dunlap, Louis & Hines, Earl;1932;4/4;F;37
You're Nobody Till Somebody Loves You;Morgan, Russ & Stock, Larry & Cavanaugh, James;1944;4/4;E-;37
Bye Bye Blackbird;Henderson, Ray;1926;4/4;F;38
Crazy Rhythm;Caesar, Irving & Meyer, Joseph & Kahn, Roger;1928;4/4;F;38
Days Of Wine And Roses;Mancini, Henry;1962;4/4;F;38
Evidence;Monk, Thelonious;1963;4/4;E-;38
Fly Me To The Moon;Howard, Bart;1954;4/4;C;38
Four In One;Monk, Thelonious;1956;4/4;E-;38
Get Out Of Town;Porter, Cole;1937;4/4;B-;38
Heyoke;Wheeler, Kenny;1976;3/4;F;38
I Hadn't Anyone Till You;Noble, Ray;1938;4/4;F;38
It Only Happens When I Dance With You;Berlin, Irving;1950;4/4;C;38
I Wish I Knew;Warren, Harry;1945;4/4;G;38
Jinrikisha;Henderson, Joe;1963;4/4;A-;38
Lamp Is Low, The;DeRose, Peter & Shefter, Bert;1939;4/4;G;38
Lazy Afternoon;Latouche, John & Moross, Jerome;1954;4/4;a;38
Mahjong;Shorter, Wayne;1964;4/4;f;38
No Splice;Konitz, Lee;1954;4/4;g;38
Passion Flower;Strayhorn, Billy;1944;4/4;G;38
Peri's Scope;Evans, Bill;1966;4/4;C;38
Pretend;Douglas, Lew & Lavere, Frank & Parman, Cliff;1952;4/4;C;38
Rockin' Chair;Carmichael, Hoagy;1929;4/4;E-;38
Scene;Harrell, Tom;1990;3/4;G;38
Sometime Ago;Mikanovich, Sergio;1962;3/4;C;38
So Tender;Jarrett, Keith;1983;4/4;A;38
Soul Eyes;Waldron, Mal;1957;4/4;c;38
S'posin';Denniker, Paul;1929;4/4;B-;38
Summer Knows, The;Legrand, Michel;1971;4/4;f;38
There Is No Greater Love;Jones, Isham;1936;4/4;B-;38
Under A Blanket Of Blue;Livingston, Jerry;1933;4/4;A-;38
Unforgettable;Irving, Gordon;1951;4/4;G;38
Woody'n You;Gillespie, Dizzy;1943;4/4;D-;38
You'd Be So Nice To Come Home To;Porter, Cole;1942;4/4;a;38
All The Things You Are;Kern, Jerome;1939;4/4;A-;39
Certain Smile, A;Fain, Sammy & Webster, Paul;1958;4/4;F;39
Charleston, The;Johnson, James;1923;4/4;B-;39
Dig;Davis, Miles;1951;4/4;A-;39
Fee-Fi-Fo-Fum;Shorter, Wayne;1964;4/4;B-;39
How High The Moon;Lewis, Morgan;1940;4/4;G;39
Isfahan;Strayhorn, Billy & Ellington, Duke;1963;4/4;D-;39
I've Grown Accustomed To Her Face;Loewe, Frederick;1956;4/4;E-;39
Laura;Raskin, David;1945;4/4;C;39
Let's Get Lost;McHugh, Jimmy;1943;4/4;C;39
Love Nest, The;Hirsch, Louis;1920;4/4;E-;39
My Heart Belongs To Daddy;Porter, Cole;1938;4/4;c;39
My Man's Gone Now;Gershwin, George;1935;3/4;e;39
Ornithology;Parker, Charlie;1946;4/4;G;39
Pennies From Heaven;Johnston, Arthur;1936;4/4;C;39
Slow Hot Wind;Mancini, Henry;1959;4/4;C;39
Strangers In The Night;Kaempfert, Bert;1966;4/4;F;39
Strayhorn 2;Mulligan, Gerry;1977;4/4;D;39
Sweet Georgia Brown;Bernie, Ben & Pinkard, Maceo;1925;4/4;A-;39
Twisted Blues;Montgomery, Wes;1965;4/4;D-;39
Walkin' My Baby Back Home;Ahlert, Fred;1930;4/4;B-;39
500 Miles High;Corea, Chick;1972;4/4;e;40
All About Ronnie;Greene, Joe;1953;4/4;B-;40
As Long As I Live;Arlen, Harold;1934;4/4;F;40
Be My Love;Brodszky, Nikolaus;1950;4/4;C;40
Bidin' My Time;Gershwin, George;1930;4/4;E-;40
Countdown;Coltrane, John;1959;4/4;B-;40
Deep Purple;DeRose, Peter;1933;4/4;F;40
East Of The Sun;Bowman, Brooks;1934;4/4;G;40
Easy To Love;Porter, Cole;1936;4/4;G;40
Emily;Mandel, Johnny;1964;3/4;G;40
Foggy Day, A;Gershwin, George;1937;4/4;F;40
Girl From Ipanema, The;Jobim, Antonio Carlos;1963;4/4;F;40
House Of Jade;Shorter, Wayne;1964;4/4;c;40
I Could Have Danced All Night;Loewe, Frederick;1956;4/4;C;40
I'll Be Seeing You;Fain, Sammy;1938;4/4;E-;40
It's Impossible;Manzanero, Armando;1960;4/4;G;40
Let There Be Love;Rand, Lionel;1940;4/4;E-;40
Milestones-New;Davis, Miles;1959;4/4;g;40
My Lucky Star;DeSylva, B.G. & Brown, Lew & Henderson, Ray;1928;4/4;F;40
On Green Dolphin Street;Kaper, Bronislau;1947;4/4;E-;40
P.S. I Love You;Jenkins, Gordon;1934;4/4;E-;40
Rosetta;Hines, Earl;1933;4/4;F;40
Silver's Serenade;Silver, Horace;1963;4/4;G;40
Suddenly It's Spring;van Heusen, Jimmy;1943;4/4;B-;40
Sun down;Montgomery, Wes;1966;4/4;A;40
Tenderly;Gross, Walter;1946;4/4;E-;40
You Do Something To Me;Porter, Cole;1929;4/4;E-;40
You Turned The Tables on Me;Alter, Louis;1936;4/4;F;40
After You;Porter, Cole;1932;4/4;C;41
Always;Berlin, Irving;1925;3/4;F;41
Bernie's Tune;Miller, Bernie;1953;4/4;d;41
Call Me Irresponsible;van Heusen, Jimmy;1962;4/4;F;41
Ceora;Morgan, Lee;1966;4/4;A-;41
Have You Met Miss Jones?;Rodgers, Richard;1937;4/4;F;41
