title;composers;year;meter;key;length
If There Is Someone Lovelier;Dietz, Howard & Schwartz, Arthur;1934;4/4;C;41
I Left My Heart In San Francisco;Cory, George;1954;4/4;B-;41
I'm Beginning To See The Light;Hodges, Johnny & James, Harry & Ellington, Duke;1944;4/4;B-;41
In Love In Vain;Leo, Robin Jerome Kern;1946;4/4;B-;41
It Don't Mean A Thing;Ellington, Duke;1932;4/4;B-;41
Lullaby In Rhythm;Goodman, Benny & Sampson, Edgar & Profit, Clarence;1938;4/4;F;41
Mood Indigo;Ellington, Duke;1930;4/4;A-;41
Scotch And Soda;Guard, Dave;1958;4/4;E-;41
Sid's Delight;Dameron, Tadd;1947;4/4;A-;41
Solitude;Ellington, Duke;1934;4/4;E-;41
Tempus Fugit;Powell, Bud;1949;4/4;d;41
Undecided;Shavers, Charlie;1938;4/4;C;41
Voyage;Barron, Kenny;1986;4/4;f;41
What A Difference A Day Made;Grever, Maria;1934;4/4;E-;41
You're My Thrill;Gorney, Jay;1934;4/4;C;41
Airegin;Rollins, Sonny;1954;4/4;f;42
Almost Like Being In Love;Loewe, Frederick;1947;4/4;A-;42
Bright Boy;Bright, John;1999;4/4;E-;42
Cottage For Sale;Robison, Willard;1929;4/4;E-;42
Happy Little Sunbeam;Freeman, Russ;1953;4/4;F;42
Here's To Life;Butler, Artie;1990;4/4;b;42
I'm Always Chasing Rainbows;Carroll, Harry;1917;4/4;G;42
I'm Gonna Sit Right Down And Write Myself A Letter;Ahlert, Fred;1935;4/4;G;42
Indian Summer;Herbert, Victor;1919;4/4;G;42
I Only Have Eyes For You;Warren, Harry;1934;4/4;C;42
It's You Or No One;Styne, Jule;1954;4/4;F;42
I Want To Be Happy;Youmans, Vincent;1924;4/4;C;42
Let's Call This;Monk, Thelonious;1953;4/4;G;42
Linger Awhile;Rose, Vincent;1923;4/4;F;42
Love Walked In;Gershwin, George;1937;4/4;E-;42
Lyresto;Burrell, Kenny;1962;4/4;C;42
Moon River;Mancini, Henry;1961;3/4;C;42
Never Let Me Go;Livingston, Jay;1956;4/4;B-;42
No Moon At All;Mann, David;1948;4/4;d;42
One Note Samba;Jobim, Antonio Carlos;1961;4/4;B-;42
On The Sunny Side Of The Street;McHugh, Jimmy;1930;4/4;C;42
Stablemates;Golson, Benny;1957;4/4;D-;42
Star-Crossed Lovers;Strayhorn, Billy & Ellington, Duke;1944;4/4;D-;42
S' Wonderful;Gershwin, George;1927;4/4;E-;42
This Is All I Ask;Jenkins, Gordon;1958;4/4;F;42
Thou Swell;Rodgers, Richard;1927;4/4;E-;42
Too Young;Lippman, Sidney;1955;4/4;B-;42
We See;Monk, Thelonious;1954;4/4;B-;42
Witchcraft;Coleman, Cy;1957;4/4;F;42
You And The Night And The Music;Schwartz, Arthur;1934;4/4;c;42
After You've Gone;Creamer, Henry;1918;4/4;B-;43
Along Came Betty;Golson, Benny;1958;4/4;A-;43
Blueberry Hill;Lewis, Al & Stock, Larry & Rose, Vincent;1940;4/4;E-;43
Bourbon Street Parade;Barbarin, Paul;1949;4/4;B-;43
Bye-Ya;Monk, Thelonious;1962;4/4;E-;43
Daybreak;Grofe, Ferde;1942;4/4;E-;43
Five Brothers;Mulligan, Gerry;1955;4/4;C;43
I Don't Know Enough About You;Lee, Peggy;1946;4/4;C;43
If I Didn't Care;Lawrence, Jack;1939;4/4;B-;43
If I Should Lose You;Rainger, Ralph;1935;4/4;B-;43
If I Were A Bell;Loesser, Frank;1950;4/4;F;43
Indiana (Back Home Again In);Hanley, James;1917;4/4;F;43
In Walked Bud;Monk, Thelonious;1947;4/4;A-;43
Irresistable You;DePaul, Gene;1944;4/4;F;43
It Could Happen To You;Johnson, James;1944;4/4;E-;43
It's A Blue World;Wright, Bob & Forrest, Chet;1939;4/4;F;43
I Wish I Were In Love Again;Rodgers, Richard;1937;4/4;G;43
Moon And Sand;Wilder, Alec;1941;4/4;d;43
Nature Boy;Ahbez, Eden;1948;4/4;d;43
One I Love (Belongs To Somebody Else), The;Jones, Isham;1924;4/4;G;43
Poor Butterfly;Hubbell, Raymon;1916;4/4;A-;43
Road Song;Montgomery, Wes;1966;4/4;g;43
Robbin's Nest;Thompson, Charles & Jacquet, Illinois;1947;4/4;C;43
Scrapple From The Apple;Parker, Charlie;1947;4/4;F;43
Sno' Peas;Markowitz, Phil;1980;3/4;e-;43
Sweet And Lovely;Arnheim, Gus & Daniels, Charles;1931;4/4;C;43
There's No You;Hopper, Hal;1944;4/4;F;43
Tricotism;Pettiford, Oscar;1956;4/4;D-;43
Triste;Jobim, Antonio Carlos;1967;4/4;A;43
Watch What Happens;Legrand, Michel;1964;4/4;E-;43
Wild Flower;Shorter, Wayne;1964;6/4;B-;43
You're My Everything;Warren, Harry;1931;4/4;C;43
Bein' Green;Raposo, Joe;1970;4/4;B-;44
But Not For Me;Gershwin, George;1930;4/4;E-;44
Come Rain Or Come Shine;Arlen, Harold;1946;4/4;F;44
Comes Love;Brown, Lew;1939;4/4;C;44
Come Sunday;Ellington, Duke;1943;4/4;B-;44
Dolphin Dance;Hancock, Herbie;1965;4/4;E-;44
Don't Go To Strangers;Kent, Arthur & Evans, Redd & Mann, Dave;1954;4/4;B-;44
Eiderdown;Swallow, Steve;1965;4/4;g;44
Everything I Love;Porter, Cole;1941;4/4;F;44
Gravy Waltz, The;Brown, Ray;1962;3/4;C;44
Here's That Rainy Day;van Heusen, Jimmy;1953;4/4;G;44
If I Loved You;Rodgers, Richard;1945;4/4;C;44
In The Cool, Cool, Cool Of The Evening;Carmichael, Hoagy;1951;4/4;F;44
I've Heand That Song Before;Styne, Jule;1954;4/4;C;44
Just You, Just Me;Greer, Jesse;1929;4/4;C;44
Let's Cool One;Monk, Thelonious;1956;4/4;E-;44
Lovely Way To Spend An Evening,;McHugh, Jimmy;1943;4/4;F;44
Moten Swing;Moten, Bennie;1932;4/4;A-;44
New York, New York;Kander, John;1977;4/4;F;44
Off Minor;Monk, Thelonious;1947;4/4;g;44
Oh Lady Be Good;Gershwin, George;1924;4/4;G;44
One Foot In The Gutter;Terry, Clark;1958;4/4;F;44
Perhaps Perhaps Perhaps;Farres, Osvaldo & Davis, Joseph;1947;4/4;e;44
Second Star To The Right, The;Fain, Sammy;1953;4/4;E-;44
Softly, As In A Morning Sunrise;Romberg, Sigmund;1928;4/4;c;44
Stompin' At The Savoy;Sampson, Edgar;1936;4/4;D-;44
Sway;Ruiz, Pablo;1953;4/4;g;44
Tangerine;Schertzinger, Victor;1942;4/4;F;44
That Old Feeling;Fain, Sammy;1937;4/4;C;44
They Say;Weiss, Stephan & Mann, Paul;1938;4/4;C;44
They Say It's Wonderful;Berlin, Irving;1946;4/4;F;44
This Year's Kisses;Berlin, Irving;1937;4/4;G;44
Where Or When;Rodgers, Richard;1937;4/4;E-;44
Who Can I Turn To;Newley, Anthony & Bricusse, Leslie;1965;4/4;E-;44
Afternoon In Paris;Lewis, John;1956;4/4;C;45
Among My Souvenirs;Nicholls, Horatio;1927;4/4;E-;45
Amor;Ruiz, Gabriel;1944;4/4;C;45
April In Paris;Duke, Vernon;1932;4/4;C;45
Aren't You Glad You're You;van Heusen, Jimmy;1945;4/4;F;45
Bohemia After Dark;Pettiford, Oscar;1955;4/4;g;45
Dewey Square;Parker, Charlie;1947;4/4;E-;45
Embraceable You;Gershwin, George;1928;4/4;G;45
Favela;Jobim, Antonio Carlos;1963;3/4;g;45
Freckle Face;Nestico, Sammy;1975;4/4;B-;45
If I Could Be With You;Johnson, James;1926;4/4;E-;45
I'll Never Be The Same;Khan, Gus & Malneck, Matt & Signorelli, Frank;1932;4/4;G;45
I'm Getting Sentimental Over You;Bassman, George;1933;4/4;F;45
Lucky Southern;Jarrett, Keith;1972;4/4;D;45
Minor Mishap;Flanagan, Tommy;1957;4/4;b-;45
Moontrane, The;Shaw, Woody;1965;4/4;D;45
Nice 'n Easy;Spence, Lew & Bergman, Alan & Keith, Mariyln;1961;4/4;C;45
Once I Loved;Jobim, Antonio Carlos;1963;4/4;d;45
Segment;Parker, Charlie;1949;4/4;b-;45
Sweetest Sounds, The;Rodgers, Richard;1962;4/4;c;45
Tisket A Tasket, A;Traditional;1938;4/4;E-;45
Too Close For Comfort;Bock, Jerry & Weiss, George David & Holofcener, Larry;1956;4/4;C;45
West Coast Blues;Montgomery, Wes;1960;6/4;B-;45
Yardbird Suite;Parker, Charlie;1946;4/4;C;45
Beauty And The Beast;Shorter, Wayne;1974;4/4;F;46
Blue Skies;Berlin, Irving;1927;4/4;C;46
Blue Turning Grey Over You;Waller, Fats;1929;4/4;B-;46
Deed I Do;Rose, Fred;1926;4/4;C;46
Everybody's Song But My Own;Wheeler, Kenny;1988;3/4;c;46
Falling In Love Again;Hollander, Frederick;1930;3/4;C;46
Flamingo;Grouya, Ted;1941;4/4;F;46
For You, For Me, For Evermore;Gershwin, George;1930;4/4;E-;46
Gentle Rain, The;Bonfa, Luiz;1965;4/4;a;46
I'll Get By (As Long As I Have You);Ahlert, Fred;1928;4/4;C;46
I'm Glad There Is You;Dorsey, Jimmy;1941;4/4;F;46
Manoir de Mes Reves (Django's Castle);Reinhardt, Django;1949;4/4;E-;46
Maybe I Should Change My Ways;Ellington, Duke;1947;4/4;B-;46
Red Top;Hampton, Lionel;1952;4/4;G;46
September In The Rain;Warren, Harry;1937;4/4;E-;46
Till There Was You;Wilson, Meredith;1957;4/4;E-;46
Unit Seven;Jones, Sam;1962;4/4;C;46
Virgo;Shorter, Wayne;1964;4/4;F;46
What Are You Doing New Years;Loesser, Frank;1947;4/4;F;46
When It's Sleepy Time Down South;Muse, Clarence & René, Leon & René, Otis;1931;4/4;E-;46
All Through The Day;Kern, Jerome & Hammerstein, Oscar;1946;4/4;F;47
Am I Blue?;Akst, Harry;1929;4/4;F;47
Best Is Yet To Come 2;Coleman, Cy;1959;4/4;A-;47
Copenhagen;Davis, Charlie & Melrose, Walter;1924;4/4;B-;47
Don't Misunderstand;Parks, Gordon;1972;4/4;F;47
Early Autumn;Burns, Ralph & Herman, Woody;1949;4/4;C;47
Eronel;Monk, Thelonious;1952;4/4;G;47
For All We Know;Coots, Fred;1934;4/4;E-;47
Frenesi;Dominguez, Alberto;1939;4/4;A-;47
Jordu;Jordan, Duke;1953;4/4;c;47
Laurie;Evans, Bill;1980;4/4;B-;47
Make Someone Happy;Styne, Jule;1960;4/4;E-;47
Monk's Dream;Monk, Thelonious;1952;4/4;C;47
More I See You, The;Warren, Harry;1945;4/4;E-;47
Party's Over, The;Styne, Jule;1956;4/4;E-;47
Peacocks, The;Rowles, Jimmy;1975;4/4;b-;47
Penthouse Serenade;Jason, Will & Burton, Val;1931;4/4;F;47
Pretty Girl Is Like A Melody, A;Berlin, Irving;1919;4/4;G;47
September Song;Weill, Kurt;1938;4/4;B-;47
Somebody Loves Me;Gershwin, George;1924;4/4;F;47
Soon;Gershwin, George;1929;4/4;E-;47
Tonight You Belong To Me;David, Lee;1926;4/4;C;47
Training;Petrucciani, Michel;1998;4/4;A-;47
Try A Little Tenderness;Woods, Harry;1932;4/4;E-;47
Young And Foolish;Hague, Albert;1954;4/4;C;47
You've Changed;Fisher, Carl;1941;4/4;E-;47
Ain't She Sweet;Ager, Milton;1927;4/4;E-;48
Bolivia;Walton, Cedar;1963;4/4;D;48
By Myself;Schwartz, Arthur;1937;4/4;F;48
Confirmation;Parker, Charlie;1946;4/4;F;48
Continuum;Pastorius, Jaco;1976;4/4;E;48
Dinah;Akst, Harry;1925;4/4;G;48
Dindi;Jobim, Antonio Carlos;1965;4/4;E-;48
Do Nothing Til You Hear From Me;Ellington, Duke;1940;4/4;B-;48
Don't Get Around Much Anymore;Ellington, Duke;1942;4/4;C;48
Elora;Johnson, J.J.;1959;4/4;B-;48
Forest Flower;Lloyd, Charles;1967;4/4;C;48
Four Brothers;Giuffre, Jimmy;1948;4/4;A-;48
He's A Tramp;Lee, Peggy & Burke, Sonny;1955;4/4;F;48
I Cried For You;Freed, Arthur & Arnheim, Gus & Lyman, Abe;1923;4/4;F;48
I Should Care;Cahn, Sammy & Stordahl, Axel & Weston, Paul;1944;4/4;C;48
It's De-lovely;Porter, Cole;1936;4/4;F;48
Little Sunflower;Hubbard, Freddie;1967;4/4;d;48
Little Willie Leaps;Parker, Charlie;1947;4/4;F;48
Moonglow;Hudson, Will & De Lange, Eddie & Mills, Irving;1934;4/4;G;48
Night And Day;Porter, Cole;1932;4/4;C;48
Night Has A Thousand Eyes, The;Brainin, Jerry;1948;4/4;G;48
Popsicle Toes;Franks, Michael;1975;4/4;e-;48
There'll Be Some Changes Made;Overstreet, Benton;1921;4/4;B-;48
Toy Tune;Shorter, Wayne;1965;4/4;F;48
Walkin' Shoes;Mulligan, Gerry;1956;4/4;E-;48
Alone Too Long;Schwartz, Arthur;1954;4/4;G;49
Best Thing For You Is Me, The;Berlin, Irving;1950;4/4;C;49
Black Nile;Shorter, Wayne;1964;4/4;d;49
Flintstones;Curtain, Hoyt;1960;4/4;B-;49
Flower Is A Lovesome Thing, A;Strayhorn, Billy;1944;4/4;D-;49
Gone With The Wind;Wrubel, Allie;1937;4/4;E-;49
High Hopes;van Heusen, Jimmy;1959;4/4;F;49
How Deep Is The Ocean;Berlin, Irving;1932;4/4;E-;49
If I Had You;Campbell, James & Connelly, Reginald & Shapiro, Ted;1928;4/4;B-;49
I'll Remember April;DePaul;1941;4/4;G;49
I Used To Be Color Blind;Berlin, Irving;1938;4/4;E-;49
Like Someone In Love;van Heusen, Jimmy;1944;4/4;E-;49
Li'l Darling;Hefti, Neal;1957;4/4;F;49
Man I Love, The;Gershwin, George;1924;4/4;E-;49
Moonlight In Vermont;Suessdorf, Karl;1944;4/4;E-;49
Morgan The Pirate;Morgan, Lee;1964;3/4;E-;49
My Secret Love;Vogel, Roger;1988;4/4;E-;49
Speak Like A Child;Hancock, Herbie;1968;4/4;a;49
What'll I Do;Berlin, Irving;1924;3/4;C;49
You Better Go Now;Reichner, S. Bickley & Graham, Irving;1936;4/4;E-;49
You Keep Coming Back Like A Song;Berlin, Irving;1946;4/4;E-;49
All The Way;van Heusen, Jimmy;1957;4/4;E-;50
At Long Last Love;Porter, Cole;1937;4/4;C;50
Black And Blue;Waller, Fats;1929;4/4;a;50
Boplicity;Henry, Cleo;1949;4/4;F;50
But Beautiful;van Heusen, Jimmy;1947;4/4;G;50
Con Alma;Gillespie, Dizzy;1956;4/4;C;50
Confessin' (That I Love You);Daugherty, Doc & Reynolds, Ellis;1930;4/4;G;50
Could It Be You;Porter, Cole;1948;4/4;B-;50
Don't Take Your Love From Me;Nemo, Henry;1941;4/4;C;50
Dream A Little Dream Of Me;Andre, Fabian & Schwandt, Wilbur;1931;4/4;C;50
Everything I Have Is Yours;Lane, Burton;1952;4/4;C;50
Forever Sonny;Heath, Jimmy;1992;4/4;B-;50
Frim Fram Sauce, The;Richardel, Joe;1945;4/4;B-;50
How About You;Lane, Burton;1941;4/4;F;50
How Are Things In Glocca Morra;Lane, Burton;1947;4/4;F;50
I May Be Wrong;Sullivan, Henry;1929;4/4;E-;50
I'm Just A Lucky So-And-So;Ellington, Duke;1945;4/4;G;50
Isotope;Henderson, Joe;1964;4/4;C;50
Love Me Or Leave Me;Donaldson, Walter;1928;4/4;A-;50
Lullaby Of The Leaves;Petkere, Bernice;1932;4/4;c;50
Misty;Garner, Erroll;1954;4/4;E-;50
Parisian Thoroughfare;Powell, Bud;1951;4/4;F;50
Petit Fleur;Bechet, Sidney;1952;4/4;g;50
Sentimental Journey;Brown, Les & Homer, Ben;1944;4/4;C;50
She's Funny That Way;Daniels, Charles;1928;4/4;E-;50
Touch Of Your Lips, The;Noble, Ray;1926;4/4;C;50
When You Wish Upon A Star;Washington, Ned;1940;4/4;C;50
Besame Mucho;Velazques, Consuelo;1940;4/4;d;51
Blue And Sentimental;Basie, Count & Livingston, Jerry & David, Mack;1938;4/4;E-;51
Chelsea Bridge;Strayhorn, Billy;1941;4/4;D-;51
Golden Earring;Livingston, Jay;1946;4/4;c;51
I'm Sitting On Top Of The World;Lewis, Sam & Young, Joe & Henderson, Ray;1925;4/4;F;51
Invitation;Kaper, Bronislau;1952;4/4;c;51
Isn't This A Lovely Day (To Be Caught In The Rain);Berlin, Irving;1935;4/4;G;51
Joy Spring;Brown, Clifford;1955;4/4;F;51
Just One More Chance;Johnston, Arthur & Coslow, Sam;1931;4/4;G;51
My Little Suede Shoes;Parker, Charlie;1951;4/4;E-;51
Old Cape Cod;Rothrock, Claire & Yakus, Milton & Jeffrey, Allan;1957;4/4;E-;51
Only Trust Your Heart;Carter, Benny;1964;4/4;F;51
Poinciana;Simon, Nat;1936;4/4;D;51
Summer Serenade;Carter, Benny;1980;4/4;D-;51
Thrill Is Gone, The;Henderson, Ray;1931;4/4;c;51
Trinkle Tinkle;Monk, Thelonious;1952;4/4;E-;51
Webb City;Powell, Bud;1946;4/4;B-;51
Dolores;Shorter, Wayne;1967;4/4;D-;52
Dreamsville;Mancini, Henry;1959;4/4;C;52
Haunted Heart;Schwartz, Arthur;1948;4/4;E-;52
High Fly;Weston, Randy;1959;4/4;C;52
I'm Putting All My Eggs In One Basket;Berlin, Irving;1936;4/4;C;52
It's Magic;Styne, Jule;1948;4/4;B-;52
I've Never Been in Love Before;Loesser, Frank;1950;4/4;B-;52
Just Squeeze Me;Ellington, Duke;1941;4/4;F;52
Little Peace In C For You;Petrucciani, Michel;1996;4/4;C;52
Lover Man;Davis, Jimmy & Ramirez, Roger & Sherman, James;1942;4/4;F;52
Mas Que Nada;Ben, Jorge;1963;4/4;f;52
Nobody Else But Me;Kern, Jerome;1946;4/4;C;52
Oh! Look At Me Now;Bushkin, John;1941;4/4;A-;52
Ol' Man River;Kern, Jerome;1927;4/4;E-;52
Portrait Of Jennie;Robinson, J.;1948;4/4;E-;52
Prism;Jarrett, Keith;1984;4/4;g;52
Secret Love;Fain, Sammy;1953;4/4;E-;52
Time After Time;Styne, Jule;1947;4/4;C;52
52nd Street Theme;Monk, Thelonious;1948;4/4;C;53
9.20 Special;Warren, Earl;1945;4/4;C;53
Ac-Cent-Tchu-Ate the Positive;Arlen, Harold;1944;4/4;F;53
All God's Chillun Got Rhythm;Kahn, Gus & Kaper, Bronislau;1937;4/4;F;53
Ana Maria;Shorter, Wayne;1974;4/4;G;53
Be Careful It's My Heart;Berlin, Irving;1940;4/4;F;53
Birth Of The Blues, The;Henderson, Ray;1926;4/4;C;53
Chicago;Fisher, Fred;1939;4/4;C;53
Crystal Silence;Corea, Chick;1972;4/4;a;53
Dolphin, The;Eca, Luiz;1968;4/4;E;53
Ghost Of A Chance,;Young, Victor;1932;4/4;C;53
Grand Central;Coltrane, John;1959;4/4;b-;53
I Don't Stand A Ghost Of A Chance;Young, Victor;1932;4/4;C;53
Lament;Johnson, J.J.;1954;4/4;f;53
Lonely Dreams;Gibbs, Terry;1955;4/4;B-;53
Loop, The;Corea, Chick;1986;3/4;F;53
Moments To Remember;Allen, Robert;1955;4/4;G;53
My Funny Valentine;Rodgers, Richard;1937;4/4;E-;53
Nevertheless;Ruby, Harry;1931;4/4;B-;53
New Picture;Heath, Jimmy;1985;3/4;B-;53
Sea Journey;Corea, Chick;1986;4/4;a;53
Spring Is Here;Rodgers, Richard;1938;4/4;A-;53
Street Of Dreams;Young, Victor;1932;4/4;E-;53
Time For Love, A;Mandel, Johnny;1966;4/4;F;53
You Must Believe In Spring;Legrand, Michel;1967;4/4;b;53
Airmail Special;Christian, Charlie;1940;4/4;C;54
Anthropology;Parker, Charlie;1946;4/4;B-;54
Be-Bop;Gillespie, Dizzy;1944;4/4;f;54
Butch And Butch;Nelson, Oliver;1961;4/4;B-;54
C.T.A.;Heath, Jimmy;1953;4/4;B-;54
Dexterity;Parker, Charlie;1947;4/4;B-;54
Godchild;Wallington, George;1949;4/4;A-;54
Honeysuckle Rose;Waller, Fats;1929;4/4;F;54
I Ain't Got Nobody;Williams, Spencer & Graham, Roger;1915;4/4;G;54
I Could Write A Book;Rodgers, Richard;1940;4/4;C;54
If You Could See Me Now;Dameron, Tadd;1946;4/4;E-;54
I'm A Fool To Want You;Herron, Joel & Sinatra, Frank & Wolf, Jack;1951;4/4;e;54
I'm In The Mood For Love;McHugh, Jimmy;1935;4/4;C;54
Liza;Gershwin, George;1929;4/4;E-;54
Long Ago And Far Away;Kern, Jerome;1944;4/4;F;54
Morning;Fisher, Clare;1966;4/4;a;54
Mountain Greenery;Rodgers, Richard;1926;4/4;C;54
My Heart Stood Still;Rodgers, Richard;1927;4/4;F;54
Nutville;Silver, Horace;1965;4/4;c;54
Old Devil Moon;Lane, Burton;1946;4/4;F;54
Passport;Parker, Charlie;1949;4/4;B-;54
San Francisco Holiday;Monk, Thelonious;1960;4/4;E-;54
Sometimes I'm Happy;Youmans, Vincent;1925;4/4;F;54
S.O.S.;Montgomery, Wes;1962;4/4;c;54
Souvenir;Carter, Benny;1936;4/4;E-;54
Star Eyes;DePaul, Gene;1943;4/4;E-;54
Theme, The;Davis, Miles;1956;4/4;B-;54
Thriving From A Riff;Parker, Charlie;1945;4/4;B-;54
What's New;Haggard, Bob;1939;4/4;C;54
You're Laughing At Me;Berlin, Irving;1937;4/4;E-;54
Alfie;Bacharach, Burt;1965;4/4;B-;55
Baltimore Oriole;Carmichael, Hoagy;1942;4/4;g;55
Dear Old Stockholm;Traditional;1955;4/4;d;55
Don't Explain;Holiday, Billie;1944;4/4;d;55
I Like The Likes Of You;Duke, Vernon;1934;4/4;E-;55
Last Night When We Were Young;Arlen, Harold;1937;4/4;G;55
Let's Get Away From It All;Dennis, Matt;1941;4/4;E-;55
Our Love is Here to Stay;Gershwin, George;1938;4/4;F;55
Pick Yourself Up;Kern, Jerome;1936;4/4;F;55
Quasimodo Blowing Changes;Parker, Charlie;1946;4/4;E-;55
Seven Steps To Heaven;Feldman, Victor;1963;4/4;F;55
So Many Stars;Mendez, Sergio;1966;4/4;D-;55
Two For The Road;Mancini, Henry;1967;4/4;G;55
Violets For Your Furs;Dennis, Matt & Adair, Tom;1941;4/4;F;55
Young At Heart;Richards, Johnny;1954;4/4;B-;55
Agua De Beber;Jobim, Antonio Carlos;1961;4/4;d;56
Anything Goes;Porter, Cole;1934;4/4;C;56
Between The Devil And The Deep Blue Sea;Arlen, Harold;1931;4/4;F;56
C'est Si Bon;Betti, Henri;1947;4/4;B-;56
Cottontail;Ellington, Duke;1940;4/4;B-;56
Crosscurrent;Tristano, Lennie;1949;4/4;F;56
Don't Blame Me;McHugh, Jimmy;1953;4/4;C;56
Epistrophy;Thelonious, Monk & Kenny Clarke;1942;4/4;D-;56
Estate;Martino, Bruno;1960;4/4;b;56
Full House;Montgomery, Wes;1962;3/4;f;56
Glory Of Love, The;Hill, Billy;1936;4/4;G;56
Gregory Is Here;Silver, Horace;1973;4/4;B-;56
I Didn't Know About You;Ellington, Duke;1944;4/4;F;56
I Hear A Rhapsody;Fragos, George & Baker, Jack & Gasparre, Dick;1940;4/4;E-;56
I Surrender Dear;Barris, Harry;1931;4/4;C;56
Leila;Montgomery, Wes;1958;4/4;C;56
Let There Be You;Young, Vicki & Cavanaugh, David;1956;4/4;C;56
Line For Lyons;Mulligan, Gerry;1955;4/4;G;56
Manhattan;Rodgers, Richard;1925;4/4;F;56
Maze, The;Hancock, Herbie;1962;4/4;e;56
Nearness Of You, The;Carmichael, Hoagy;1937;4/4;F;56
Rhythm-a-ning;Monk, Thelonious;1958;4/4;B-;56
Saga Of Harrison Crabfeathers, The;Kuhn, Steve;1972;3/4;E-;56
Seven Come Eleven;Goodman, Benny & Christian, Charlie;1940;4/4;A-;56
Taking A Chance On Love;Duke, Vernon;1940;4/4;F;56
