title;composers;year;meter;key;length
Tea For Two;Youmans, Vincent;1924;4/4;A-;56
Thanks For The Memory;Robin, Leo;1937;4/4;F;56
Tis Autumn;Nemo, Henry;1941;4/4;E-;56
Walkin' up;Evans, Bill;1966;4/4;C;56
We'll Be Together Again;Fisher, Carl;1945;4/4;C;56
What Are You Doing The Rest Of Your Life?;Legrand, Michel;1969;4/4;a;56
Whisper Not;Golson, Benny;1958;4/4;c;56
You Don't Know What Love Is;DePaul, Gene;1941;4/4;f;56
Again;Newman, Lionel;1949;4/4;G;57
Creole Love Call;Ellington, Duke;1927;4/4;B-;57
Do You Know What It Means?;Alter, Louis;1946;4/4;C;57
Everything I've Got Belongs To You;Rodgers, Richard;1942;4/4;E-;57
For Once In My Life;Murden, Orlando;1965;4/4;B-;57
I Cover The Waterfront;Green, Johnny;1933;4/4;G;57
I Got It Bad;Ellington, Duke;1941;4/4;G;57
I Remember You;Schertzinger, Victor;1942;4/4;F;57
It Had To Be You;Jones, Isham;1924;4/4;G;57
Lullaby Of Birdland;Shearing, George;1952;4/4;A-;57
Odd Couple, The;Hefti, Neal;1968;4/4;F;57
Smooth One, A;Goodman, Benny;1937;4/4;F;57
They All Laughed;Gershwin, George;1936;4/4;G;57
26-2;Coltrane, John;1959;4/4;F;58
As Time Goes By;Hupfeld, Herman;1931;4/4;E-;58
Budo;Davis, Miles & Powell, Bud;1949;4/4;A-;58
Bye Bye Baby;Styne, Jule;1949;4/4;B-;58
Dance Of The Infidels;Powell, Bud;1949;4/4;F;58
Don't Be That Way;Sampson, Edgar;1938;4/4;E-;58
For Heaven's Sake;Edwards, Sherman & Meyer, Don & Bretton, Elise;1946;4/4;F;58
I Thought About You;van Heusen, Jimmy;1939;4/4;F;58
I've Got The World On A String;Arlen, Harold;1932;4/4;F;58
I've Told Eve'ry Little Star;Kern, Jerome;1932;4/4;F;58
Jaco;Metheny, Pat;1974;4/4;c;58
Jeannine;Pearson, Duke;1960;4/4;A-;58
Lazybones;Carmichael, Hoagy;1933;4/4;C;58
Mambo Inn;Bauza, Mario & Sampson, Edgar & Woodlen, Bobby;1952;4/4;F;58
Manteca;Gillespie, Dizzy;1948;4/4;B-;58
Meaning Of The Blues, The;Worth, Leah & Troup, Bobby;1957;4/4;d;58
My Foolish Heart;Young, Victor;1949;4/4;B-;58
Night We Called It A Day, The;Dennis, Matt;1944;4/4;G;58
People Will Say We're In Love;Rodgers, Richard;1943;4/4;C;58
Satin Doll;Strayhorn, Billy & Ellington, Duke;1953;4/4;C;58
Someone To Watch Over Me;Gershwin, George;1926;4/4;E-;58
Stairway To The Stars;Maineck, Matt;1935;4/4;C;58
Teach Me Tonight;DePaul, Gene;1953;4/4;E-;58
They Can't Take That Away From Me;Gershwin, George;1937;4/4;E-;58
Tiny Capers;Brown, Clifford;1954;4/4;B-;58
Very Thought Of You, The;Noble, Ray;1934;4/4;A-;58
All Too Soon;Ellington, Duke;1940;4/4;C;59
Autumn In New York;Duke, Vernon;1934;4/4;F;59
Bewitched;Rodgers, Richard;1941;4/4;C;59
Can't Help Lovin' Dat Man;Kern, Jerome;1927;4/4;E-;59
Day Dream;Strayhorn, Billy & Ellington, Duke;1941;4/4;F;59
Day Dreaming;Kern, Jerome;1941;4/4;B-;59
Flying Home;Goodman, Benny & Hampton, Lionel & DeLange, Eddie;1940;4/4;E-;59
Home Cookin';Silver, Horace;1957;4/4;F;59
It Ain't Necessarily So;Gershwin, George;1935;4/4;g;59
It's Easy To Remember;Rodgers, Richard;1935;4/4;E-;59
I've Got You Under My Skin;Porter, Cole;1936;4/4;E-;59
Let's Do It (Let's Fall In Love);Porter, Cole;1928;4/4;B-;59
Love Is Just Around The Corner;Gensler, Lewis;1934;4/4;F;59
Meditation;Jobim, Antonio Carlos;1962;4/4;C;59
My Old Flame;Johnson, Arthur;1934;4/4;F;59
My Way;Francois, Claude & Thibault, Gilles;1969;4/4;C;59
Nice Work If You Can Get It;Gershwin, George;1937;4/4;G;59
Raincheck;Strayhorn, Billy;1942;4/4;F;59
Satellite;Coltrane, John;1959;4/4;G;59
Since I Fell For You;Johnson, Buddy;1945;4/4;E-;59
Someday (You'll Be Sorry);Armstrong, Louis;1947;4/4;E-;59
Speak No Evil;Shorter, Wayne;1961;4/4;c;59
Wave;Jobim, Antonio Carlos;1967;4/4;D;59
You're Everything;Corea, Chick;1972;4/4;A;59
Ain't Misbehavin';Waller, Fats;1929;4/4;C;60
All My Tomorrows;van Heusen, Jimmy;1960;4/4;G;60
Blame It On My Youth;Levant, Oscar;1934;4/4;E-;60
Bunko;Niehaus, Lenny;1955;4/4;F;60
Celia;Powell, Bud;1956;4/4;B-;60
Cry Me A River;Hamilton, Arthur;1953;4/4;E-;60
Dancing On The Ceiling;Rodgers, Richard;1930;4/4;F;60
Falling Grace;Swallow, Steve;1966;4/4;A-;60
Give Me The Simple Life;Bloom, Rube;1959;4/4;E-;60
I Gotta Right To Sing The Blues;Arlen, Harold;1932;4/4;B-;60
I'm Old Fashioned;Kern, Jerome;1942;4/4;F;60
It's The Talk Of The Town;Livingston, Jerry;1933;4/4;F;60
I Want To Talk About You;Eckstine, Billy;1946;4/4;E-;60
Monk's Mood;Monk, Thelonious;1946;4/4;D-;60
Moonlight Becomes You;van Heusen, Jimmy;1942;4/4;F;60
Nutty;Monk, Thelonious;1954;4/4;B-;60
Ping Pong;Shorter, Wayne;1961;4/4;C;60
Second Time Around, The;van Heusen, Jimmy;1960;4/4;C;60
Sippin' At Bells;Davis, Miles;1947;4/4;F;60
Smoke Gets In Your Eyes;Kern, Jerome;1933;4/4;E-;60
Sunday Kind Of Love, A;Belle, Barbara & Leonard, Anita & Rhodes, Stan & Prima, Louis;1946;4/4;F;60
Up Jumped Spring;Hubbard, Freddie;1967;3/4;B-;60
Benny's Tune;Loueke, Lionel;2007;6/4;D-;61
Butterfly Dreams;Clarke, Stanley;1973;3/4;C;61
For Sentimental Reasons;Best, William;1945;4/4;D-;61
I'm Through With Love;Malneck, Matty & Kahn, Gus & Livingston, Fud;1931;4/4;F;61
Isn't It Romantic?;Rodgers, Richard;1932;4/4;E-;61
It Might As Well Be Spring;Rodgers, Richard;1945;4/4;G;61
It's A Lovely Day Today;Berlin, Irving;1950;4/4;B-;61
I Was Doing All Right;Gershwin, George;1937;4/4;A-;61
Little Rootie Tootie;Monk, Thelonious;1959;4/4;A-;61
Making Whoopee;Donaldson, Walter;1928;4/4;G;61
Memories Of You;Blake, Eubie;1930;4/4;E-;61
Milestones-Old;Davis, Miles;1958;4/4;B-;61
My Little Brown Book;Strayhorn, Billy;1963;4/4;B-;61
Naima;Coltrane, John;1959;4/4;b-;61
Somewhere;Bernstein, Leonard;1956;4/4;E-;61
Stars Fell On Alabama;Perkins, Frank;1934;4/4;C;61
Tones For Joan's Bones;Corea, Chick;1967;4/4;D;61
Too Young To Go Steady;McHugh, Jimmy;1955;4/4;F;61
Zing Went The Strings Of My Heart;Hanley, James;1934;4/4;E-;61
Alone Together;Schwartz, Arthur;1939;4/4;d;62
Change Partners;Berlin, Irving;1938;4/4;F;62
Django;Lewis, John;1956;4/4;f;62
Eternal Triangle;Stitt, Sonny;1957;4/4;B-;62
Heatwave;Berlin, Irving;1933;4/4;G;62
Ill Wind;Arlen, Harold;1934;4/4;B-;62
In a Sentimental Mood;Ellington, Duke;1935;4/4;d;62
I See Your Face Before Me;Schwartz, Arthur;1937;4/4;E-;62
Is You Is Or Is You Ain't (Ma' Baby);Austin, Billy & Jordan, Louis;1944;4/4;A-;62
It's A Good Day;Lee, Peggy;1947;4/4;E-;62
Lady is a Tramp, The;Rodgers, Richard;1937;4/4;C;62
Little Niles;Weston, Randy;1958;3/4;g;62
Moment's Notice;Coltrane, John;1957;4/4;E-;62
Moonlight Saving Time;Kahal, Irving;1931;4/4;F;62
Once In A While;Edwards, Michael;1937;4/4;E-;62
Radio;Swallow, Steve;1978;4/4;F;62
Straighten Up And Fly Right;Cole, Nat King & Mills, Irving;1944;4/4;A-;62
Straight Street;Coltrane, John;1957;4/4;e-;62
Wrap Your Troubles In Dreams;Barris, Harry;1931;4/4;C;62
You Brought A New Kind Of Love;Fain, Sammy  & Kahal, Irving & Connor, Pierre;1930;4/4;G;62
At Last;Warren, Harry;1941;4/4;C;63
Blue Champagne;Ryerson, Frank & Eaton, Jimmy & Watts, Frank;1941;4/4;F;63
Blue Moon;Rodgers, Richard;1934;4/4;E-;63
Devil May Care;Kirk, T.P.;1963;4/4;g;63
Down In The Depths;Porter, Cole;1936;4/4;D;63
Everything Happens To Me;Dennis, Matt;1940;4/4;B-;63
Georgia On My Mind;Carmichael, Hoagy;1930;4/4;F;63
Get Happy;Arlen, Harold;1929;4/4;F;63
Imagination;van Heusen, Jimmy;1939;4/4;E-;63
Kids Are Pretty People;Jones, Thad;1968;4/4;d;63
Kiss To Build A Dream On, A;Kalmar, Bert & Ruby, Harry & Hammerstein, Oscar;1935;4/4;C;63
Let's Fall In Love;Arlen, Harold;1933;4/4;C;63
Mean To Me;Ahlert, Fred;1929;4/4;F;63
More Than You Know;Youmans, Vincent;1929;4/4;C;63
My Romance;Rodgers, Richard;1935;4/4;C;63
Put On A Happy Face;Strouse, Charles;1960;4/4;E-;63
Question And Answer;Metheny, Pat;1989;3/4;d;63
Say It (Over And Over Again);Loesser, Frank;1940;4/4;E-;63
Soultrane;Dameron, Tadd;1956;4/4;E-;63
Thelonious;Monk, Thelonious;1947;4/4;B-;63
What A Wonderful World;Weiss, George & Thiele, Bob;1967;4/4;F;63
A Felicidade;Jobim, Antonio Carlos;1959;4/4;a;64
Basin Street Blues;Williams, Spencer;1926;4/4;B-;64
Call Me;Hatch, Tony;1965;4/4;G;64
Caravan;Tizol, Juan & Ellington, Duke;1937;4/4;f;64
Dear Lord;Coltrane, John;1965;4/4;D;64
Detour Ahead;Ellis, Herb;1954;4/4;C;64
Easy Street;Jones, Alan;1941;4/4;E-;64
Falling In Love With Love;Rodgers, Richard;1938;3/4;B-;64
Good Morning Heartache;Higginbotham, Irene & Drake, Ervin & Fisher, Dan;1945;4/4;c;64
I Hear Music;Lane, Burton;1940;4/4;F;64
I Let A Song Go Out Of My Heart;Ellington, Duke;1938;4/4;E-;64
It's A Big Wide Wonderful World;Rox, John;1940;3/4;A-;64
Jeepers Creepers;Warren, Harry;1938;4/4;B-;64
Jitterbug Waltz;Waller, Fats;1942;3/4;E-;64
Let's Face The Music And Dance;Berlin, Irving;1935;4/4;C;64
Like A Lover;Caymmi, Dori;1967;4/4;C;64
Pannonica;Monk, Thelonious;1956;4/4;C;64
Things We Did Last Summer, The;Styne, Jule;1946;4/4;F;64
This Masquerade;Russell, Leon;1972;4/4;f;64
What A Little Moonlight Can Do;Woods, Harry;1934;4/4;G;64
When Lights Are Low;Carter, Benny;1958;4/4;F;64
While We're Young;Wilder, Alec;1947;3/4;E-;64
With A Song In My Heart;Rodgers, Richard;1929;4/4;E-;64
Yes And No;Shorter, Wayne;1965;4/4;D;64
 Blue Room, The;Rodgers, Richard;1926;4/4;F;65
Born To Be Blue;Wells, Robert & Torme, Wells;1946;4/4;C;65
Crazy He Calls Me;Sigman, Carl;1949;4/4;F;65
Easy Living;Rainger, Ralph;1937;4/4;F;65
Get Me To The Church On Time;Lerner, Alan;1956;4/4;G;65
How Long Has This Been Going On?;Gershwin, George;1927;4/4;F;65
I Got The Sun In The Morning;Berlin, Irving;1946;4/4;F;65
I'll Be Around;Wilder, Alec;1942;4/4;C;65
It's Only a Paper Moon;Arlen, Harold;1933;4/4;G;65
Keepin' Myself For You;Youmans, Vincent;1955;4/4;E-;65
Let's Call The Whole Thing Off;Gershwin, George;1936;4/4;E-;65
Lover;Rodgers, Richard;1932;4/4;E-;65
Skylark;Carmichael, Hoagy;1941;4/4;E-;65
Sophisticated Lady;Ellington, Duke;1933;4/4;A-;65
Will You Still Be Mine?;Dennis, Matt;1941;4/4;E-;65
Blackberry Winter;Wilder, Alec;1976;4/4;F;66
Dedicated To You;Cahn, Sammy & Chaplin, Saul & Zaret, Hy;1960;4/4;B-;66
I Loves You Porgy;Gershwin, George;1935;4/4;F;66
Love For Sale;Porter, Cole;1930;4/4;b-;66
One By One;Shorter, Wayne;1963;4/4;g;66
Warm Valley;Ellington, Duke;1940;4/4;B-;66
Alfie's Theme;Rollins, Sonny;1966;4/4;B-;67
I'll Take Romance;Oakland, Ben;1937;3/4;F;67
Little Girl Blue;Rodgers, Richard;1935;3/4;F;67
Lone Jack 2;Metheny, Pat;1978;4/4;b-;67
Nancy (With The Laughing Face);van Heusen, Jimmy;1944;4/4;E-;67
Skippy;Monk, Thelonious;1952;4/4;A-;67
Song Is You, The;Kern, Jerome;1932;4/4;C;67
Strode Rode;Rollins, Sonny;1956;4/4;f;67
That's All;Haymes, Bob & Brandt, Alan;1952;4/4;B-;67
These Foolish Things;Strachey, Jack;1936;4/4;E-;67
Without A Song;Youmans, Vincent;1929;4/4;E-;67
End Of A Love Affair, The;Redding, Edward;1950;4/4;F;68
Ev'ry Time We Say Goodbye;Porter, Cole;1944;4/4;E-;68
I Guess I'll Hang My Tears Out To Dry;Styne, Jule;1945;4/4;C;68
It Never Entered My Mind;Rodgers, Richard	;1940;4/4;F;68
Just One Of Those Things;Porter, Cole;1935;4/4;F;68
Man That Got Away, The;Arlen, Harold;1954;4/4;F;68
Old Folks;Robison, Willard;1938;4/4;F;68
Out Of This World;Arlen, Harold;1944;4/4;E-;68
Reflections;Monk, Thelonious;1952;4/4;A-;68
Willow Weep For Me;Ronell, Ann;1932;4/4;G;68
Bouncin' With Bud;Powell, Bud;1949;4/4;B-;69
Day In, Day Out;Bloom, Rube;1939;4/4;C;69
Desafinado-orig;Jobim, Antonio Carlos;1959;4/4;E;69
Desafinado;Jobim, Antonio Carlos;1959;4/4;F;69
From This Moment On;Porter, Cole;1951;4/4;f;69
Goodbye;Jenkins, Gordon;1935;4/4;C;69
I Didn't Know What Time It Was;Rodgers, Richard;1939;4/4;G;69
Turn Out The Stars;Evans, Bill;1966;4/4;a;69
You Are Too Beautiful;Rodgers, Richard;1932;4/4;C;69
Dat Dere;Timmons, Bobby;1960;4/4;c;70
Dream Dancing;Porter, Cole;1941;4/4;C;70
Heart And Soul;Carmichael, Hoagy;1938;4/4;F;70
I Concentrate On You;Porter, Cole;1939;4/4;E-;70
Isn't It A Pity;Gershwin, George;1933;4/4;C;70
I Wish You Love;Trenet, Charles;1946;4/4;E-;70
Joker, The;Morgan, Lee;1964;4/4;E-;70
Mona Lisa;Livingston, Jay & Evans, Ray;1950;4/4;E-;70
People;Styne, Jule;1963;4/4;B-;70
Tin Tin Deo;Gillespie, Dizzy;1951;4/4;g;70
Angel Eyes;Dennis, Matt;1946;4/4;c;71
Ask Me Now;Monk, Thelonious;1951;4/4;D-;71
Hallucinations;Powell, Bud;1951;4/4;F;71
It's All Right With Me;Porter, Cole;1953;4/4;c;71
Some Other Time;Bernstein, Leonard;1944;4/4;C;71
When Sunny Gets Blue;Fisher, Marvin;1956;4/4;F;71
You Go To My Head;Coots, Fred;1938;4/4;E-;71
You Make Me Feel So Young;Myrow, Josef;1946;4/4;B-;71
Black Coffee;Burke, Sonny;1948;4/4;C;72
God Bless The Child;Holiday, Billie & Herzog, Arthur;1941;4/4;E-;72
Good Bait;Dameron, Tadd;1944;4/4;B-;72
I Can't Get Started;Duke, Vernon;1935;4/4;C;72
If Ever I Would Leave You;Loewe, Frederick;1960;4/4;B-;72
I Get A Kick Out Of You;Porter, Cole;1934;4/4;E-;72
In The Still Of The Night;Porter, Cole;1937;4/4;F;72
I've Got My Love To Keep Me Warm;Berlin, Irving;1937;4/4;E-;72
Looking Up;Petrucciani, Michel;1990;4/4;A;72
My Favorite Things;Rodgers, Richard;1959;3/4;e;72
Oh What A Beautiful Mornin';Rodgers, Richard;1943;3/4;E-;72
Prelude To A Kiss;Ellington, Duke;1938;4/4;C;72
Rainbow Connection, The;Williams, Paul & Ascher, Kenneth;1979;3/4;G;72
Recado Bossa Nova;Ferreira, Djalma;1962;4/4;g;72
Sleepin' Bee, A;Arlen, Harold;1954;4/4;A-;72
Star Dust;Carmichael, Hoagy;1929;4/4;D-;72
Wendy;Desmond, Paul;1975;4/4;E-;72
Chega De Saudade (No More Blues);Jobim, Antonio Carlos;1958;4/4;d;73
Corcovado;Jobim, Antonio Carlos;1959;4/4;C;73
Hello Young Lovers;Rodgers, Richard;1951;3/4;C;73
My One And Only Love;Wood, Guy;1953;4/4;C;73
Some Other Spring;Kitchings, Irene;1939;4/4;C;73
Stormy Weather;Arlen, Harold;1933;4/4;G;73
You're The Top;Porter, Cole;1934;4/4;E-;73
You Took Advantage Of Me;Rodgers, Richard;1928;4/4;E-;73
Body And Soul;Green, Johnny;1930;4/4;D-;74
Fascinating Rhythm;Gershwin, George;1924;4/4;F;74
I Remember Clifford;Golson, Benny;1957;4/4;E-;74
Look To The Sky;Jobim, Antonio Carlos;1972;4/4;E-;74
Miles Ahead;Davis, Miles;1957;4/4;C;74
Polkadots And Moonbeams;van Heusen, Jimmy;1940;4/4;F;74
Wonderful Day Like Today, A;Bricusse, Leslie & Newley, Anthony;1964;4/4;E-;74
All Through The Night;Porter, Cole;1934;4/4;F;75
Conception;Shearing, George;1950;4/4;D-;75
Moonlight Serenade;Miller, Glenn;1939;4/4;F;75
Pensativa;Fischer, Clare;1964;4/4;G-;75
So In Love;Porter, Cole;1948;4/4;f;75
This Could Be The Start Of Something;Allen, Steve;1956;4/4;E-;76
Lover Come Back To Me;Romberg, Sigmund;1928;4/4;E-;77
On The Street Where You Live;Loewe, Frederick;1956;4/4;B-;77
Surrey With The Fringe On The Top;Rodgers, Richard;1943;4/4;B-;77
Close Enough For Love;Mandel, Johnny & Williams, Paul;1979;4/4;g;78
I Don't Want To Miss Mississippi;Ellis, Serger;1931;4/4;G;78
That Old Black Magic;Arlen, Harold;1942;4/4;E-;78
Wives And Lovers;Bacharach, Burt;1963;3/4;E-;78
Billy Boy;Traditional;1930;4/4;C;79
Hello Dolly;Herman, Jerry;1964;4/4;B-;79
One Morning In May;Carmichael, Hoagy;1933;4/4;D;79
Quiet Now;Zeitlin, Denny;1970;4/4;C;79
There's A Lull In My Life;Revel, Harry;1937;4/4;F;79
Alice In Wonderland;Fain, Sammy;1951;3/4;C;80
Butterfly;Hancock, Herbie;1974;4/4;f;80
Cherokee;Noble, Ray;1938;4/4;B-;80
Ko Ko;Parker, Charlie;1945;4/4;B-;80
Moon Alley;Harrell, Tom;1986;4/4;F;80
My Ship;Weill, Kurt;1941;4/4;F;80
Waltz For Debby;Evans, Bill;1964;3/4;F;80
Bark For Barksdale;Mulligan, Gerry;1953;4/4;F;81
Captain Marvel;Corea, Chick;1973;4/4;C;81
Darn That Dream;van Heusen, Jimmy;1939;4/4;G;81
The Duke;Brubeck, Dave;1955;4/4;C;81
Country;Jarrett, Keith;1977;4/4;A-;82
And The Angels Sing;Elman, Ziggy;1939;4/4;E-;83
Come Fly With Me;van Heusen, Jimmy;1957;4/4;C;83
Fantasy in D (or Ugetsu);Hubbard, Freddie;1971;4/4;C;83
Midnight Sun;Hampton, Lionel & Burke, Sonny;1947;4/4;C;83
Skyliner;Barnet, Charlie;1944;4/4;C;83
Sweet Lorraine;Burwell, Cliff;1928;4/4;G;83
I'm All Smiles;Leonard, Michael & Martin, Herbert;1964;4/4;D;84
Nightingale Sang In Berkeley Square, A;Sherwin, Manning;1940;4/4;E-;84
Blues In The Night;Arlen, Harold;1941;4/4;B-;85
Samba De Orfeu;Bonfa, Luiz;1959;4/4;C;85
Way You Look Tonight, The;Kern, Jerome;1936;4/4;F;85
Cheese Cake;Gordon, Dexter;1955;4/4;c;86
Manha De Carnaval (Black Orpheus);Bonfa, Luiz;1959;4/4;a;86
All Or Nothing At All;Altman, Arthur;1938;4/4;a;87
Save Your Love For Me;Johnson, Buddy;1945;4/4;D;87
Cute;Hefti, Neal;1962;4/4;F;88
Del Sasser;Jones, Sam;1960;4/4;E-;88
Night In Tunisia, A;Gillespie, Dizzy;1942;4/4;d;88
Beyond The Sea;Trenet, Charles;1946;4/4;F;89
Folks Who Live On The Hill, The;Kern, Jerome;1937;4/4;C;89
Nica's Dream;Silver, Horace;1956;4/4;b-;89
Speak Low;Weill, Kurt;1943;4/4;F;89
Brazil (Aquarela Do Brasil);Barroso, Ary;1930;4/4;D;90
I Won't Dance;Kern, Jerome;1935;4/4;C;90
Some Enchanted Evening;Rodgers, Richard;1949;4/4;C;91
Strollin';Silver, Horace;1960;4/4;D-;91
Brazilian Suite;Petrucciani, Michel;1999;4/4;b-;92
Lotus Blossom;Strayhorn, Billy;1947;3/4;B-;92
Masquerade Is Over, The;Wrubel, Allie;1938;4/4;f;94
Over The Rainbow (Somewhere)Arlen Harold;Arlen, Harold;1939;4/4;E-;95
Brilliant Corners;Monk, Thelonious;1957;4/4;B-;96
Moanin';Timmons, Bobby;1959;4/4;f;96
My Song;Jarrett, Keith;1978;4/4;C;96
Lazy Bird;Coltrane, John;1957;4/4;G;97
El Cajon;Mandel, Johnny;1981;4/4;E-;98
I Believe In You;Loesser, Frank;1961;4/4;G;98
Think Of One;Monk, Thelonious;1953;4/4;F;100
With The Wind And The Rain In Hair;Edwards, Clare;1940;4/4;F;101
Begin The Beguine;Porter, Cole;1935;4/4;C;102
Daahoud;Brown, Clifford;1954;4/4;E-;102
It's A Dance;Petrucciani, Michel;1998;3/4;E-;102
Cheetah;Burrell, Kenny;1956;4/4;B-;103
Dienda;Kirkland, Kenny;1986;3/4;C;103
Round Midnight;Monk, Thelonious;1944;4/4;e-;103
Windows;Corea, Chick;1967;3/4;b;104
Lone Jack (Page 1);Metheny, Pat;1978;4/4;b-;105
Driftin';Hancock, Herbie;1962;4/4;E-;106
Blues March;Golson, Benny;1958;4/4;B-;108
Don't Know Why;Harris, Jesse;2002;4/4;B-;108
Very Early;Evans, Bill;1962;3/4;C;108
Lush Life;Strayhorn, Billy;1949;4/4;D-;109
Quasimodo Theme;Parker, Charlie;1946;4/4;E-;109
And On The Third Day;Gibbs, Michael;1970;4/4;D;110
I Will Wait For You;Legrand, Michel;1964;4/4;d;112
Little Dancer;Harrell, Tom;1979;3/4;D-;112
I Got Rhythm;Gershwin, George;1930;4/4;B-;113
Opener, The;Evans, Bill;1959;4/4;C;115
Aisha;Tyner, McCoy;1961;4/4;a;121
One For My Baby;Arlen, Harold;1943;4/4;E-;121
There's A Small Hotel;Rodgers, Richard;1936;4/4;E-;125
Sail Away;Harrell, Tom;1989;4/4;C;133
Troubled Waters;Johnston, Arthur;1933;4/4;F;133
Best Is Yet To Come;Coleman, Cy;1959;4/4;A-;134
Slipped Disc;Goodman, Benny;1945;4/4;A-;135
Wouldn't It Be Loverly;Loewe, Frederick;1956;4/4;G;135
Crepuscule With Nellie;Monk, Thelonious;1957;4/4;A-;136
Crisis;Hubbard, Freddie;1961;4/4;C;136
Moondance;Morrison, Van;1970;4/4;a;136
Milano;Lewis, John;1954;4/4;C;137
Peel Me A Grape;Frishberg, Dave;1962;4/4;d;138
Bess You Is My Woman;Gershwin, George;1935;4/4;B-;141
Cheek to Cheek;Berlin, Irving;1935;4/4;C;144
I Get Along Without You;Carmichael, Hoagy;1939;4/4;B-;144
Goodbye Pork Pie Hat;Mingus, Charles;1959;4/4;E-;149
Skating In Central Park;Lewis, John;1959;3/4;C;154
Spring Can Really Hang You Up The Most;Wolf, Tommy;1955;4/4;C;168
Ballad, A;Mulligan, Gerry;1973;4/4;C;175
Ruby, My Dear;Monk, Thelonious;1945;4/4;E-;176
James;Metheny, Pat;1979;4/4;D;205
Bud Powell;Corea, Chick;1978;4/4;F;371