1;2;3;4;5;6;7;8;8;9;10;11;12;13;14;15;16;16;17;17;18;18;19;19;20;20;21;21;22;22;23;24;24;25;26;27;28;29;30;31;32
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;3.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;3.0;1.0;3.0;1.0;3.0;1.0;3.0;1.0;3.0;1.0;3.0;1.0;3.0;1.0;1.0;3.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
Dm7;Dm7;Bb7;Bb7;E%7;A7;Dm7;E%7;A7;Dm7;Dm7;Bb7;Bb7;E%7;A7;Dm7;Cm7;F7;Bb6;Gm7;Cm7;F7;Bb6;Gm7;Cm7;F7;Bb6;Gm7;Cm7;F7;Bb6;E%7;A7;Dm7;Dm7;Bb7;Bb7;E%7;A7;Dm7;Dm7
I_d;I_d;V_Eb;V_Eb;II_d;V_d;I_d;II_d;V_d;I_d;I_d;V_Eb;V_Eb;II_d;V_d;I_d;II_Bb;V_Bb;I_Bb;VI_Bb;II_Bb;V_Bb;I_Bb;VI_Bb;II_Bb;V_Bb;I_Bb;VI_Bb;II_Bb;V_Bb;I_Bb;II_d;V_d;I_d;I_d;V_Eb;V_Eb;II_d;V_d;I_d;I_d
I_d;;V_Eb;;V_d;;I_d;V_d;;I_d;;V_Eb;;V_d;;I_d;V_Bb;;I_Bb;II_Bb;;V_Bb;I_Bb;II_Bb;;V_Bb;I_Bb;II_Bb;;V_Bb;I_Bb;V_d;;I_d;;V_Eb;;V_d;;I_d;
I_d;;V_A;;V_d;;I_d;I_d;;;;V_A;;V_d;;I_d;I_Bb;;;V_Bb;;;I_Bb;V_Bb;;;I_Bb;V_Bb;;;I_Bb;V_d;;I_d;;V_A;;V_d;;I_d;
I_d;;V_d;;;;I_d;I_d;;;;V_d;;;;I_d;(I_Bb,V_Bb);;;;;;(I_Bb,V_Bb);;;;(I_Bb,V_Bb);;;;I_Bb;V_d;;I_d;;V_d;;;;I_d;
I_d;;I_d;;;;;I_d;;;;I_d;;;;;(I_Bb,V_Bb);;;;;;;;;;I_Bb;;;;;V_d;;I_d;;I_d;;;;;
I_d;;;;;;;I_d;;;;;;;;;I_Bb;;;;;;;;;;;;;;;V_d;;I_d;;;;;;;
I_d;;;;;;;;;;;;;;;;V_Eb;;;;;;;;;;;;;;;V_d;;I_d;;;;;;;
I_d;;;;;;;;;;;;;;;;V_A;;;;;;;;;;;;;;;V_d;;I_d;;;;;;;
I_d;;;;;;;;;;;;;;;;V_d;;;;;;;;;;;;;;;;;I_d;;;;;;;
I_d;;;;;;;;;;;;;;;;I_d;;;;;;;;;;;;;;;;;;;;;;;;
I_d;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;