1;2;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;32
1.0;1.0;3.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;3.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;3.0
Bb6;Bb6;Bbo7;Ebm7;F7;Bb6;Bb6;G7;G7;Cm7;Ebm6;Bb6;Bbm6;C7;C7;Cm7;F7;Bb6;Bb6;Bbo7;Ebm7;F7;Bb6;Do7;G7;G7;Cm7;Ebm6;Bb6;Gm7;Cm7;F7;Bb6;Cm7;F7
I_Bb;I_Bb;VII_Cb;IV_bb;V_bb;I_Bb;I_Bb;V_c;V_c;II_Bb;V_Db;I_Bb;V_Ab;V_F;V_F;II_Bb;V_Bb;I_Bb;I_Bb;VII_Cb;IV_bb;V_bb;I_Bb;VII_Eb;V_c;V_c;II_Bb;V_Db;I_Bb;VI_Bb;II_Bb;V_Bb;I_Bb;;
I_Bb;;V_Cb;V_bb;;I_Bb;;V_c;;II_Bb;V_Bb;I_Bb;V_F;V_F;;V_Bb;;I_Bb;;V_Cb;V_bb;;I_Bb;V_Eb;V_c;;II_Bb;V_Bb;I_Bb;II_Bb;;V_Bb;I_Bb;;
I_Bb;;V_F;V_bb;;I_bb;;II_Bb;;;V_Bb;I_Bb;V_F;V_Bb;;;;I_Bb;;V_F;V_bb;;I_bb;V_c;II_Bb;;V_Bb;;I_Bb;V_Bb;;;I_Bb;;
I_Bb;;V_bb;;;I_bb;;V_Bb;;;;I_Bb;V_Bb;;;;;I_Bb;;V_bb;;;I_bb;II_Bb;;;V_Bb;;I_Bb;I_Bb;;;;;
I_Bb;;I_bb;;;;;I_Bb;;;;;V_Bb;;;;;I_Bb;;I_bb;;;;V_Bb;;;;;I_Bb;I_Bb;;;;;
I_Bb;;I_Bb;;;;;I_Bb;;;;;V_Bb;;;;;I_Bb;;I_Bb;;;;I_Bb;;;;;;I_Bb;;;;;
I_Bb;;;;;;;I_Bb;;;;;V_Bb;;;;;I_Bb;;;;;;I_Bb;;;;;;;;;;;
I_Bb;;;;;;;(I_Bb,V_Bb);;;;;;;;;;I_Bb;;;;;;;;;;;;;;;;;
(I_Bb,V_Bb);;;;;;;;;;;;;;;;;I_Bb;;;;;;;;;;;;;;;;;
I_Bb;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;