1;1;2;2;3;3;3;4;4;5;5;6;6;7;7;8;8;9;9;10;10;11;11;11;12;12;13;13;14;14;15;15;16;16;17;18;19;20;21;22;23;23;24;25;25;26;26;27;27;27;28;28;29;29;30;30;31;32;32
1.0;3.0;1.0;3.0;1.0;3.0;4.0;1.0;3.0;1.0;3.0;1.0;3.0;1.0;3.0;1.0;3.0;1.0;3.0;1.0;3.0;1.0;3.0;4.0;1.0;3.0;1.0;3.0;1.0;3.0;1.0;3.0;1.0;3.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;3.0;1.0;1.0;3.0;1.0;3.0;1.0;3.0;4.0;1.0;3.0;1.0;3.0;1.0;3.0;1.0;1.0;3.0
Eb^7;Cm7;Fm7;Bb7;Eb^7;Bbm7;Eb7;Ab6;Db7;Gm7;Cm7;B7;Bb7;Eb6;Eo7;Fm7;Bb7;Eb^7;Cm7;Fm7;Bb7;Eb^7;Bbm7;Eb7;Ab6;Db7;Gm7;Cm7;B7;Bb7;Eb6;Eo7;Bbm7;Eb7;Ab6;Ao7;Eb^7;F7;Bbsus;G7;Fm7;E^7;Bb7;Eb^7;Cm7;Fm7;Bb7;Eb^7;Bbm7;Eb7;Ab6;Db7;Gm7;Cm7;B7;Bb7;Eb6;Fm7;Bb7
I_Eb;VI_Eb;II_Eb;V_Eb;I_Eb;II_Ab;V_Ab;IV_Gb;V_Gb;III_Eb;VI_Eb;V_E;V_Eb;I_Eb;VII_F;I_f;V_Eb;I_Eb;VI_Eb;II_Eb;V_Eb;I_Eb;II_Ab;V_Ab;IV_Gb;V_Gb;III_Eb;VI_Eb;V_E;V_Eb;I_Eb;VII_F;II_Ab;V_Ab;I_Ab;VII_Bb;I_Eb;V_Bb;V_Eb;V_C;II_Eb;I_E;V_Eb;I_Eb;VI_Eb;II_Eb;V_Eb;I_Eb;II_Ab;V_Ab;IV_Gb;V_Gb;III_Eb;VI_Eb;V_E;V_Eb;I_Eb;;
I_Eb;II_Eb;;V_Eb;I_Eb;V_Ab;;IV_Gb;V_Gb;VI_Eb;;V_Bb;V_Eb;I_Eb;V_F;I_F;V_Eb;I_Eb;II_Eb;;V_Eb;I_Eb;V_Ab;;IV_Gb;V_Gb;VI_Eb;;V_Bb;V_Eb;I_Eb;V_F;V_Ab;;I_Ab;V_Bb;V_Ab;V_Bb;V_Eb;V_Eb;II_Eb;V_A;V_Eb;I_Eb;II_Eb;;V_Eb;I_Eb;V_Ab;;IV_Gb;V_Gb;VI_Eb;;V_Bb;V_Eb;I_Eb;;
I_Eb;V_Eb;;;I_Eb;IV_Gb;;;V_Gb;I_Eb;;V_Eb;;I_Eb;I_F;;V_Eb;I_Eb;V_Eb;;;I_Eb;IV_Gb;;;V_Gb;I_Eb;;V_Eb;;I_Eb;V_Ab;V_Ab;;I_Ab;V_Bb;V_F;V_Bb;V_Eb;V_Eb;II_Eb;V_Eb;V_Eb;I_Eb;V_Eb;;;I_Eb;IV_Gb;;;V_Gb;I_Eb;;V_Eb;;I_Eb;;
(I_Eb,V_Eb);;;;I_Eb;V_Gb;;;;(I_Eb,V_Eb);;;;I_Eb;I_f;;V_Eb;(I_Eb,V_Eb);;;;I_Eb;V_Gb;;;;(I_Eb,V_Eb);;;;I_Eb;V_Ab;;;I_Ab;V_Bb;V_Bb;;V_Eb;V_Eb;II_Eb;V_Eb;;(I_Eb,V_Eb);;;;I_Eb;V_Gb;;;;(I_Eb,V_Eb);;;;I_Eb;;
(I_Eb,V_Eb);;;;I_Eb;V_Eb;;;;(I_Eb,V_Eb);;;;I_Eb;II_Eb;;V_Eb;(I_Eb,V_Eb);;;;I_Eb;V_Eb;;;;I_Eb;;;;;I_Ab;;;;V_Bb;;;V_Eb;V_Eb;V_Eb;;;(I_Eb,V_Eb);;;;I_Eb;V_Eb;;;;I_Eb;;;;;;
(I_Eb,V_Eb);;;;(I_Eb,V_Eb);;;;;(I_Eb,V_Eb);;;;I_Eb;V_Eb;;;(I_Eb,V_Eb);;;;(I_Eb,V_Eb);;;;;I_Eb;;;;;IV_Eb;;;;V_Bb;;;V_Eb;V_Eb;;;;(I_Eb,V_Eb);;;;(I_Eb,V_Eb);;;;;I_Eb;;;;;;
(I_Eb,V_Eb);;;;;;;;;(I_Eb,V_Eb);;;;(I_Eb,V_Eb);;;;(I_Eb,V_Eb);;;;;;;;;I_Eb;;;;;IV_Eb;;;;V_Bb;;;V_Eb;;;;;(I_Eb,V_Eb);;;;;;;;;I_Eb;;;;;;
(I_Eb,V_Eb);;;;;;;;;(I_Eb,V_Eb);;;;;;;;I_Eb;;;;;;;;;;;;;;IV_Eb;;;;V_Eb;;;;;;;;(I_Eb,V_Eb);;;;;;;;;I_Eb;;;;;;
(I_Eb,V_Eb);;;;;;;;;;;;;;;;;I_Eb;;;;;;;;;;;;;;V_Eb;;;;;;;;;;;;(I_Eb,V_Eb);;;;;;;;;I_Eb;;;;;;
I_Eb;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;V_Eb;;;;;;;;;;;;I_Eb;;;;;;;;;I_Eb;;;;;;
I_Eb;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;V_Eb;;;;;;;;;;;;I_Eb;;;;;;;;;;;;;;;
I_Eb;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;I_Eb;;;;;;;;;;;;;;;;;;;;;;;;;;;
I_Eb;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;